SEQ,CUBE_CODE,CUBENAME,CREATOR,REPORT_DATE,START_DATE,END_DATE,BARCODE,ADMSITE_CODE,OPENING_QUANTITY,OPENING_AMOUNT,GOODS_RECEIVE_QUANTITY,GOODS_RECEIVE_AMOUNT,GOODS_RETURN_QUANTITY,GOODS_RETURN_AMOUNT,SITE_TRANSFER_IN_QUANTITY,SITE_TRANSFER_IN_AMOUNT,SITE_TRANSFER_OUT_QUANTITY,SITE_TRANSFER_OUT_AMOUNT,PRODUCTION_RECEIVE_QUANTITY,PRODUCTION_RECEIVE_AMOUNT,PRODUCTION_RETURN_QUANTITY,PRODUCTION_RETURN_AMOUNT,PRODUCTION_ISSUE_QUANTITY,PRODUCTION_ISSUE_AMOUNT,CONVERSION_ISSUE_QUANTITY,CONVERSION_ISSUE_AMOUNT,CONVERSION_RECEIVE_QUANTITY,CONVERSION_RECEIVE_AMOUNT,HO_SALE_QUANTITY,HO_SALE_AMOUNT,HO_SALE_RETURN_QUANTITY,HO_SALE_RETURN_AMOUNT,NET_HO_SALE_QUANTITY,NET_HO_SALE_AMOUNT,NET_HO_SALE_COGS_AMOUNT,RETAIL_SALE_QUANTITY,RETAIL_SALE_AMOUNT,RETAIL_SALE_RETURN_QUANTITY,RETAIL_SALE_RETURN_AMOUNT,NET_RETAIL_SALE_QUANTITY,NET_RETAIL_SALE_AMOUNT,NET_RETAIL_SALE_COGS_AMOUNT,NET_SALE_QUANTITY,NET_SALE_AMOUNT,NET_SALE_COGS_AMOUNT,ADJUSTMENT_QUANTITY,ADJUSTMENT_AMOUNT,MISC_ISSUE_RECEIVE_QUANTITY,MISC_ISSUE_RECEIVE_AMOUNT,COST_DIFFERENCE_AMOUNT,CLOSING_STOCK_QUANTITY,CLOSING_STOCK_AMOUNT,GP_AMOUNT,ADJUSTED_GP_AMOUNT,OPENING_TRANSIT_QUANTITY,OPENING_TRANSIT_AMOUNT,TRANSIT_INWARD_QUANTITY,TRANSIT_INWARD_AMOUNT,TRANSIT_OUTWARD_QUANTITY,TRANSIT_OUTWARD_AMOUNT,TRANSIT_ADJUSTMENT_QUANTITY,TRANSIT_ADJUSTMENT_AMOUNT,TRANSIT_DIFFERENCE_QUANTITY,TRANSIT_DIFFERENCE_AMOUNT,CLOSING_TRANSIT_QUANTITY,CLOSING_TRANSIT_AMOUNT,OPENING_STORE_QTY,CLOSING_STORE_QTY,OPENING_PACKAGE_QTY,CLOSING_PACKAGE_QTY,SALE_TAX_AMOUNT,SALE_PROMO_AMOUNT,SALE_DISCOUNT_AMOUNT,WAREHOUSE_TRANSFER_IN_QUANTITY,WAREHOUSE_TRANSFER_IN_AMOUNT,WH_TRANSFER_OUT_QUANTITY,WH_TRANSFER_OUT_AMOUNT,UNSETTLED_QTY,UNSETTLED_SALE_AMOUNT,UNSETTLED_TAX_AMOUNT,UNSETTLED_PROMO_AMOUNT,UNSETTLED_DISCOUNT_AMOUNT,PENDING_PO_QUANTITY,ASON_WMS_RESERV_QTY_PKG_DUE,MRP_ON_PRICE_CONTROL,PENDING_PKGIN_QTY_INV_DUE,PENDING_TRANFER_SALES_ORDER,RSP_ON_PRICE_CONTROL
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,R341404,1070,100000,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,R348757,1070,74000,888000,67500,810000,0,0,0,0,-109000,-1308000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32500,390000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,M856759,1070,38885,263011.6,0,0,0,0,0,0,-37500,-253219.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,9791.950003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,R111827,1070,35964,273326.4001,460700,3298385,-1000,-7050,1000,5148,-414664,-2981661.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82000,588148.0001,0,0,0,0,1000,5148,1000,-5148,0,0,0,0,0,0,0,0,9000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,R350264,1070,35000,227500,67000,435500,0,0,0,0,-92000,-598000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,R111826,1070,28775,218690,255000,1851300,0,0,0,0,-276000,-2019452.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7775,50537.49999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,M631846,1070,16409,82545.08901,6000,34770,0,0,0,0,-13600,-67497.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8809,49817.81301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,R345341,1070,16072,1997749.6,0,0,0,0,0,0,-4032,-501177.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12040,1496572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,R345343,1070,15200,1889360,0,0,0,0,0,0,-3940,-489742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11260,1399618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
1904,1904,12:00:00 AM,Ramesh Roy,Jun-26,Apr-26,Apr-26,R340384,1070,14040,533520,0,0,0,0,0,0,-5160,-196080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8880,337440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
