Division,Section,Department,Department Allias,CNAME1,CNAME2,CNAME3,CNAME4,CNAME5,CNAME6,DESC1,DESC2,DESC3,PARTYNAME,ICODE,RATE,MRP,STOCKINDATE
Accessories 1,Footwear,Sandals (M),Acc 1,H SNDL,MB,AD-1,NA,"8""",OLD AGE,,,,Sai International (Unit- II)(51S-0295) : SS00484,M369054,160.48,280,23-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,MB,NA,NA,NA,OLD AGE,,,,Converson : SC00008,M369056,67,150,22-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,MB,NA,NA,NA,OLD AGE,,,,Converson : SC00008,M369057,87,195,22-May-15
Accessories 1,Footwear,Sandals (M),Acc 1,H SNDL,MB,WINNER- 11,NA,"10""",OLD AGE,,,,Sai International (Unit- II)(51S-0295) : SS00484,M369059,187.32,325,23-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,MB,NA,NA,NA,OLD AGE,,,,Converson : SC00008,M369065,88,195,22-May-15
Ladies Wear,Ladies Western Wear,Jeans Lds,Western,H LPJ,MB,NARROW FIT,DENIM,"28""",OLD AGE,,,,Jeans Studio. (3097) : SJ00116,M369095,341.72,595,23-May-15
Ladies Wear,Ladies Western Wear,Jeans Lds,Western,H LPJ,MB,NARROW FIT,DENIM,"30""",OLD AGE,,,,Jeans Studio. (3097) : SJ00116,M369096,341.72,595,23-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,SPARK,NA,NA,"H 24-28""",OLD AGE,,,,Kavita International. (5022) : SK00101,M367946,216.778,350,16-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,SPARK,NA,NA,"H 24-28""",OLD AGE,,,,Kavita International. (5022) : SK00101,M367947,229.75,375,16-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,SPARK,NA,NA,"H 24-28""",OLD AGE,,,,Kavita International. (5022) : SK00101,M367948,225.444,375,16-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,SPARK,NA,NA,"H 30-34""",OLD AGE,,,,Kavita International. (5022) : SK00101,M367950,281.778,475,16-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,SPARK,NA,NA,"H 30-34""",OLD AGE,,,,Kavita International. (5022) : SK00101,M367960,225.444,375,16-May-15
Accessories 2,Plastic Ware,General Plastic Goods,Acc 2,H HANGER,BHAKTI,HANGER,NA,6 PCS SET,OLD AGE,,,,Bhakti Industries. (7019) : SB00079,M367998,89.506,150,17-May-15
Mens Wear,Mens Upper Wear,T Shirts,T Shirts,H MTC,MB,COLLAR,NA,NA,OLD AGE,,,,Sona International. (5037) : SS00262,M368018,247.352,395,17-May-15
Mens Wear,Mens Upper Wear,T Shirts,T Shirts,H MTC,MB,COLLAR,NA,NA,OLD AGE,,,,Sona International. (5037) : SS00262,M368019,192.928,325,17-May-15
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,MB,NA,NA,NA,OLD AGE,,,,Casuals. (0036) : SC00003,M368023,160,250,22-Apr-17
Kids Wear,Boys Wear,T Shirts (B),Boys,H BTS,MB,NA,NA,NA,OLD AGE,,,,Casuals. (0036) : SC00003,M368024,122,195,15-May-15
Mens Wear,Mens Lowers,Jeans,Lowers,H MPJ,SPARKY,DESIGNER,DENIM,"32""",OLD AGE,,,,J. K. Jain Hosiery & Trading House. (3035) : SJ00091,M366295,870.017,1395,07-May-15
Mens Wear,Mens Lowers,Jeans,Lowers,H MPJ,SPARKY,DESIGNER,DENIM,"34""",OLD AGE,,,,J. K. Jain Hosiery & Trading House. (3035) : SJ00091,M366296,870.051,1395,07-May-15
Mens Wear,Mens Lowers,Jeans,Lowers,H MPJ,SPARKY,DESIGNER,DENIM,"36""",OLD AGE,,,,J. K. Jain Hosiery & Trading House. (3035) : SJ00091,M366297,869.94,1395,07-May-15
